Phone Number,Target,Count
+4542344716,32961245508616703350343881295232907642,2
+4542414145,181021760548466785743750807243587186165,2
+4542515356,162586567574098840232943229825356667807,8
+4542515356,162655247938212592018340283386052680005,4
+4560135309,225283102167591067143550056027672333018,2
+4570104444,223183384550944609321446451254054475129,3
+4581943829,119702976453227371471950073961720191757,2
+4593999446,334092796254862779063391519595256044237,3
+46101030500,12808624202181834207649894045789252996,2
+46101039983,92241651054662421231373985575162298638,3
+46101040500,264608971333953618891783510934969712228,2
+46101040500,8216847758999630126525455387087783628,5
+46101130892,80496877913988485645744944887972332603,2
+46101228111,311135592449188966172015101326211431416,2
+46101228268,281348433215669742014343467149487118482,4
+46101228971,166953690891498173764694969426932195678,4
+46101229633,53197269789730906399617706228080080893,2
+46101411136,107843787720105187648101847933103190087,2
+46101428211,156128691045538930235334725306842454146,3
+46101567263,96196979791093914137218292240428033749,4
+46101664200,15265352383519241282074042250855115153,7
+46101664200,157326441924843368520346122879150839874,5
+46101664200,234518706896702442352419586877389582960,2
+46101664200,32486239661801318743751201347402970392,2
+46101690007,297816754550341601214019438471851227938,2
+46101752133,213952103740903248514714718135319729654,6
+46101774801,316791577624733775224673818908505586887,3
+46102022109,39345472401974197284163394772037736374,3
+46102097355,193405694977779038059131764285304408523,4
+46102163187,202081144675957189672471610874896053909,2
+46102171122,115506552303434517242592197829438245995,2
+46102171122,274824878626303614324152784941222090628,3
+46102171159,309369868268969023740191478934017753118,5
+46102233249,333338703546563255820553163068274834069,3
+46102234259,244872704879479059452888509370175435336,2
+46102347066,5803563785064547079337609474048752773,3
+46102521089,140191297228594362823919885379158158051,4
+46102794415,324282651897044223727447020464946591388,5
+46102794415,985369949036426366436826351206029781,3
+46102799454,88642056208379523430226719158811772409,2
+46102888564,307475185606937333410471901297501467898,2
+46103322260,161511390694678194214339844794774606123,7
+46103351414,234974749268594704092011065705340818377,2
+46103450100,252079136022402968617134834631721053830,6
+46103450100,85205125698323871929521947148521104773,5
+46103537729,224941570819746611011828244996944005339,2
+46103547616,117038322689617002738584738300074301574,2
+46103569174,163045590674885847670406220907117446087,3
+46103570422,247683191328979842434082606901462050901,3
+46103570532,132089872723945006998702241982690032738,1
+46103570532,199388161618941710103800345528454255280,10
+46103580001,316490571520211372072212832802632138777,4
+46104109545,134338097103859068504181914109192566067,7
+46104360405,199515251235675502967258507367569605720,2
+46104360405,25489065001599810646202181045320163552,2
+46104361751,132312017679778599979622916260851654034,2
+46104405821,176070685676425537594876339788563206068,2
+46104420110,224313180082768754513590843201711316111,4
+46104444572,162327356078182293657363346257568429774,2
+46104475785,94806520134176787937680716809962143328,3
+46104479121,22707789218207955960381469406397795795,2
+46104492268,127634271011742439477670609753977999913,2
+46104526049,294342582778603209546101611111138959585,2
+46104534696,158101784694793589954433605061416206122,2
+46104534696,42495946637931923652199106544917404438,3
+46104534696,45400518873924659056368592711882361388,8
+46104534714,150505906268139623515283457194165281218,4
+46104545982,306310656657986317650567325883354205508,5
+46104548144,283950465574172312393054627773231256375,3
+46104558198,282253516418692723333115262659832570181,3
+46104561131,73421716718955250637369194517596824286,6
+46104585330,248725215603219835282615317507016053100,2
+46104585330,293565810136986426751689683741203963342,2
+46104585330,95749123167657552416587712546503004984,2
+46104585770,6042443338097279995055089182029329710,2
+46104700277,75136508133281430225105334866360455158,5
+46104702864,140867322754931523682915070898147894294,2
+46104702874,249146784461146483332388716406768607175,2
+46104703271,270490008938110623171001501769172353341,2
+46104735496,328320407980595879623033408664404339611,2
+46104758234,23929592543819833141045149042765692794,5
+46104758234,58423754463574576501617129778556451540,2
+46104767885,81940663310003733888314634785102438503,2
+46104784771,135992509594956122492560028828814257222,2
+46104793000,318936936416092320016743238388075947547,2
+46104866214,67908951013679854042738488159785895741,4
+46104870228,102341636639524520579081581958661298375,2
+46104870228,262827941335025061114942654111731900442,2
+46104900124,37973697638009620858447961564126640638,2
+46104915760,125416477931702911826077824243914896316,2
+46104915760,129718970190417234958150105084766289904,2
+46104915760,217331555712000823517743111716700792752,2
+46104915760,304059392026931377610417016644446908740,2
+46104940300,78022971051119598228038439229328235328,2
+46104949650,70338933166286461244997537008442663037,2
+46104952513,98331864653238574696915599875246621800,3
+46104958710,278537017726509042865460652094123949878,2
+46104971849,208412078775733752195440691873647631890,7
+46104976509,165691458919314354766832559752429141641,7
+46104978252,291556678602596816535548880970611382561,2
+46104993140,215342456440098402163308283838255172135,2
+46105034953,32695814827742382683110299096734467410,2
+46105035140,64325150078505126653679587949459312606,2
+46105106654,23955876878736608088163826046605568440,3
+46105433110,62032436541901974754016424068713066255,3
+46105433454,236373623135343898959300281439655893779,2
+46105433487,288959372066127160985151721431708270671,2
+46105433499,322073187692410400680456831778940801279,5
+46105515854,58003036259883922206707822567520302119,4
+46105551278,210385669888980885412975150957369038612,6
+46105551279,151072441573519413213188355735656821082,2
+46105551279,336160347557328009538320299032396390620,2
+46105551279,48103180214626343277640557605972624866,2
+46105551279,83272109409144957279481895910559803210,7
+46105558500,108456729569907624984221898773670544070,2
+46105562345,113509142185191359719601421041721444032,3
+46105562345,213000257005246685550293375606132950066,1
+46105563732,152419399618424715836538361211333384512,1
+46105595800,108679233755187002299565691002749852285,5
+46105646090,237806652999359276495051786160282157992,2
+46105741488,328627397017819878676708807050815010618,3
+46105790396,252058555532808993461867951849853598417,3
+46105792467,325575629201588370520582224984754215115,2
+46106011157,336128963062240732964729054912873269067,5
+46106036273,337983426779261967786612066455202196158,2
+46106036273,81451032438896949609132550034106984924,2
+46106802500,319517004828900092728310603677601789615,3
+46106802500,39968583758840039729706920942549207050,3
+46106981924,116637277093776506466608633820864374842,2
+46107066148,33673426155832060411177184247169906214,1
+46107066915,116303189199483282133404426074501295211,3
+46107097880,267770304141014992465781685470731569961,2
+46107097900,126342079141447075284068003333607125768,4
+46107210018,110517891623841433560391627495470365338,4
+46107211336,123571165940139313478046081227820674861,5
+46107220328,158882731660085997268266750087150498662,2
+46107502591,174863039368924665384965110454326291888,4
+46107502591,269060382987860043685158168364860842883,4
+46107554944,283519352446693012207778696130234108452,2
+46107889051,205521079181694395007123135601270813662,5
+46108848260,109943812343135898724449993565850381089,2
+46108848260,115970241774683314691203617732750185249,2
+46108848260,120714609207959471115953784852616463421,2
+46108848260,124115010101148549962028381994060507414,2
+46108848260,130061084432429772098882627795972574187,4
+46108848260,133034018083292325610239578235137200884,3
+46108848260,138038549355330095112331514443318983050,3
+46108848260,139044482886962105669204713438983008323,3
+46108848260,144809444289571515267813437441725822193,4
+46108848260,146506082554229851722028390015715348031,3
+46108848260,147174477610843402293889631312404032583,4
+46108848260,167977952404479041888521232519513639013,2
+46108848260,168428009969612187145409801281026538582,5
+46108848260,1747543419398790759662199758249251847,7
+46108848260,180266422231395293237064073091013103478,2
+46108848260,182600052582180698854144840643083706507,6
+46108848260,186489453289560933941410773410732566112,3
+46108848260,190855165369578444041280293772427787627,3
+46108848260,245009976015633457576104415037606371571,4
+46108848260,245061470089916122689351228250031459561,3
+46108848260,254685357962528281549326919476212877959,2
+46108848260,26406096948295007103754366380926310592,7
+46108848260,264426585736519988052964126465485732292,2
+46108848260,269106245792503040017014632618721199435,3
+46108848260,269938681051222102212465877355121078525,3
+46108848260,298745581889219494355114095788527611341,3
+46108848260,301380740620120359192170755518478605816,3
+46108848260,306923051005499577499334698918002712761,2
+46108848260,307830165758900405185313521587284962013,2
+46108848260,310640755747170939933681318340804876789,3
+46108848260,319703413086617920436528915809663296824,4
+46108848260,320828377090529916482252773123258953063,2
+46108848260,339574843633202816189070490992248629581,3
+46108848260,46085146418516296391648408197380926421,8
+46108848260,61021393621191088296767642250650672161,2
+46108848260,63772728366277546601897197766699042018,4
+46108848260,80837274809308542927338519508861001076,4
+46108848260,81991449489199022407416409413675715262,3
+46108848260,86029343051405641075562633822204175979,6
+46108848467,207356632896594413627758894796064344477,6
+46108848467,263374788057171873241858304878039056786,2
+46108848467,52180886876413870812160392175793154583,3
+4611151250,32603547904125244957314965408038691169,3
+4611152027,22395571620984658687607486932116552217,5
+4611156673,169768106173032278605508091812471380295,2
+4612010774,141682060670450288120483196403604472577,5
+4612014841,275573415292228319232239582688329269321,4
+46121770088,204747974874095579488772857209457303630,8
+4612312924,55607110862449759350395081027422997222,6
+4613158468,325459346949012210170461386256014533903,3
+4613184929,211715949134254530639401835506444727574,4
+4613233770,137475883667832293146077275301654389377,2
+4613233770,219301041078456457462906246059398271338,2
+4613289906,259570677756907456669989925197474933582,5
+4613317535,167993978344529888399194714775581139758,2
+4613317535,326351864796847620361370604003614689851,2
+461340257,251011941999086292999511224573682191623,5
+46140385030,130458686826146309529422894206693915516,7
+46140385030,306110396398481796146298898493516178083,6
+46141230195,161693555786351387908628982399347812844,2
+46141699000,163732221501314420115707020082674274285,2
+46141699000,182213443500393814871653626760636535170,3
+46142655425,59906080833425716142309897695278156625,2
+4615160140,265557361357317114569432718138909142996,3
+4615213629,42282717208499758016936091382340243756,3
+4615226200,214634133556831544497601957104709031921,2
+46155245673,187560407029552348911106678603476136253,2
+46155287586,152986005115674534850699819919989482451,2
+4615533205,118104255214126534726050725382406873478,2
+4616137870,176037579243077846977473394173057126383,2
+46165857107,107233459142802320362565282647670860572,3
+46165857107,216604167464932297963677829276762482999,2
+46165858890,128988391537773565855893549051896147833,2
+46165858890,266842658733332256295694939317884259473,2
+46165858890,338021712686314618907521921134631387115,2
+46167101305,307013473190837227817119591849955100308,3
+46167109737,111413078496490165834455455122848713990,2
+46171152530,290366664473917199090276200653095211226,2
+46171425425,281491108594877117435019570199522783366,3
+46171425425,47613890918986446293687771622769502815,9
+4617153887,191197112375358670803311310049566385312,2
+4617180181,78416360318326576362551380937965521764,3
+46176204121,204305294914177490947102886741936482929,2
+46176204121,291769986424024684626337601419162004085,4
+46176208508,17263174804629347024227807340938860478,8
+46176208508,268976400850888031771381786339791017510,4
+4617671878,88181361117759820291256944710071008892,2
+4618149143,203738231911410454493038281352305631482,2
+4618183087,167673988606716666636756626828438714323,5
+4618196506,243454346426359735613714070731681466523,2
+4618232000,34253885882511404370775809191174000819,3
+4618363050,203080055012888043935268982435451345769,6
+46184183013,195664552025035109600354259531412492043,2
+46184445657,115371846992551947476442784665584923791,2
+4618461800,125244105204268046200378188262124673588,3
+46184703242,327029689929290540677245959641573218777,3
+46184711021,267528496368088976418920299017831408850,3
+4618671605,323072911816555012046290635157171775520,2
+46187271323,146349664077595524230426066312329163093,5
+46187273508,142885674310087124618564629305317671756,5
+46187278478,26590737468094678902686486360225174715,4
+46187278478,271923173015929263939852267268157412577,4
+4619101038,302708451205553822707433397367177559804,2
+4619101038,90075206541898739343809846816103312228,2
+4619183611,311000424695284615482383874227616472042,6
+4619200000,273076970636049170602097828473157921371,2
+4619215663,94195975228441732388494335643396706129,3
+4619216860,67124063010563877556517053230509161751,6
+4619301211,331992111917974297655636935152889186735,3
+4619322331,79633197889100064747351507284343747932,2
+4619333780,241250439750279253423628767447739555960,2
+46196029443,22103217272871227896520263787147894290,2
+46196701224,198048300177888017520965420245876923712,2
+46197606920,174615133956897298812777413980218949397,3
+46197606920,214749289867777943060639475624059978930,3
+46197606920,330590629784608042299986831541002388720,4
+46197607120,305240469392458237895205371005263033757,2
+46197642252,220954174501463669139193443535506916045,5
+4620222222,271802970784890371920258173291507778187,2
+4621171719,316367366103893164116968238542044493915,3
+4621176998,223022546107401592325057425796072254952,3
+4621177181,15044168223584335501379924676298591525,2
+4621184459,191019200530966204937703291373183074849,3
+4621392737,18763793812781427151699496528077725156,3
+4621392737,268775683322026311109147726784740132709,7
+46214406509,226411845693496826361788532731330170227,2
+46214708898,221712418446332258353616241769327539856,5
+46214733000,191476544772585266336753359167351796926,2
+46214733000,222128444398013910286986962167690289513,2
+4622024024,120459182138887038984360163160127697889,2
+4622024040,284767425627976436694428698414739989428,3
+4622024624,174177585532755731789740780493276222008,4
+4622024624,243557953162294392058420524981395430850,3
+4622039915,65840593009623903712941436031848915541,5
+4622045623,300312934641265395856332435146496947577,2
+4622125630,142077529586684101612388668351016392792,2
+4622125630,25043159628223663150853292423095399568,3
+4622125630,278112096260922263902999696165134102866,2
+46224660556,219798930817876072869542752422427158104,5
+46224660556,240118990288571730439118395401596665666,6
+46224791667,211898447176622834556502965770098059607,3
+46224791667,81014212953965116022539861907580122102,6
+46225772112,60293964565117292324081224046871280302,3
+4622657800,192858637332546803042170234071985520014,2
+462347125,120763412593137279318909100610188539123,2
+46236613282,259271807456544661984020900068375434372,3
+462387217,141101687277873630667910274862787760519,1
+462387217,275121271514084519934327911981700071445,2
+462387217,301858723289006487632211690928143317174,1
+4624161137,268311661534499940905689050526008529565,3
+4624851850,131450676012149353169495793489491532273,2
+4625029761,175428394925135771196303086744257630635,6
+4625039331,105324997975986914848326272370286786265,2
+4626154000,181530750863755459937250257388224290931,3
+4626154000,196957548542243003551521772947880371067,2
+4626154000,55500509568312970238328521074630999631,3
+4626185789,10086892131267632654607200700059270763,1
+46264504800,304063273803696080128872226209663467778,2
+4626531478,106741354595364168320953366023922007791,2
+4626531478,318297146854869910554440034014888888948,2
+462670015,122630680048903444405619951125027592108,2
+4628010020,100642575990968901709223724043105403699,6
+4628010595,100114971398250035406634063016917753999,8
+46280498200,112240704088215616283795374513929886772,2
+46280498200,166097737385472722841408862879468296088,3
+4628130219,228578114412454666665396348551730557564,2
+4629144408,175976893615819185002708615215495788145,6
+4629351172,94893986159366445572766219451826682447,2
+46293562118,122447427236995539995986319131429854446,2
+46300541052,212858946059098857809849112139043093183,4
+4630074223,88169172640904766009100515830588388175,6
+4630074223,89323982895602097218151414706493122684,3
+46300800000,188873354953875636430158755086214549633,2
+46300800000,50687694094483421656160280341436653355,2
+46300835008,157875810127345647813509932702045365936,5
+46300939012,298539927467611430426756270177538908640,2
+46301234075,307562039932266865012816266093705561966,5
+46303245772,214821660693762648785486716275007357211,2
+46303352320,164801615615882516013810904058319586185,2
+46303352320,311719617114570050923749504695915316359,2
+46304334662,323342831592942077292831032172169332074,2
+4630436084,174413147370847697745505826332949706059,6
+4630439454,13445117307180949482162299209164441950,3
+4630439454,146413309167531226760852587075787981945,5
+4630439454,264197087508606879615341225411077158779,2
+4631150450,36665821303329870428820884191735726318,2
+4631162076,22093641815218105843140596256409616531,3
+4631281333,64545159890177658757849769067392995922,2
+46313037800,192343687062619293582406134023413032668,5
+46313100000,312821914987051364984211184993108654067,2
+46313152763,125852316415813751663168359607850682256,3
+46313186528,233348049236355143367302056649441003094,5
+46313186528,337420404976392795228016400239532848011,6
+46313324345,267707445265873428890140824853641826019,2
+46313366913,105045442981139713613352500227920753048,2
+46313366913,123312927631236344706704510689546546278,2
+46313459003,22580264000783633681378527148482696839,2
+46313501860,108872987908545793191936493697007763141,3
+46313501860,137918920858188960872625197261894093717,4
+46313501860,16233979398280979769499029365624394693,3
+46313501860,229124881543532664588179599958581983142,3
+46313501860,251606920691291159994539840971789854080,2
+46313501860,282755460150222509725588443320501572797,5
+46313501860,332632541366324066324200810837716895532,6
+46313501860,68802875101741846629016667098264741070,2
+46313523239,223760434841577959596117457226305155572,5
+46313657957,85099390050590233564542336758224154426,2
+46313660742,171294266517825299409607015522771119159,5
+46313670043,11375051991932496323364456767934042850,5
+46313679212,241480228333300243500007603056738149959,2
+46313680416,32676733416722244465845975437362556567,4
+46313889000,36983144118174244276412836432617050586,5
+4631533655,121047024643895967885120764671845890313,4
+4631533655,200236365496530769130654676646660895024,4
+4631554137,236118301639868892991378707323870628139,3
+4631554137,28911102214047842705495050712316394809,2
+4631583214,357219089508482315338029347459793470,2
+4631656483,139451027150497311346918236129778334308,2
+4631656483,174954815865788730147268167875587855918,2
+4631691903,68987467219013231775311806254658284754,7
+46317050505,335904353417353655610284528908494796297,2
+46317321106,70748344751509342629249445588526294056,6
+46317433142,118799301068052572236031680962266275445,7
+46317457453,211293177766001981974912350432072717189,5
+46317465065,31647796755021317834009146445081612402,3
+46317465065,50815533002123721814837371919227709662,2
+46317480770,125281255804089457795330048516537130910,3
+46317556060,150246467348331453186997191628617133588,2
+46317556060,17163720377902500479953963036835924133,2
+46317556060,295459761405065263401778573120689740404,1
+46317557371,240894263846233735113359953732004678330,5
+46317557371,329998772029483703279878725784921494949,3
+46317557650,93899211232892689805939331569881394430,3
+46317719600,153505979244412230954825710438002005209,2
+46317877050,305355279002852618901140246211876450128,2
+46317877050,78011902763257134460859638149026666602,2
+46317945063,255278929569309062976851160832019624390,5
+46317945063,257839600164930886700162428712038180942,2
+46317945063,86049124473346287835062987284495505274,2
+46317998525,16391054924012860203369832110472700659,6
+4631970078,315782695359553132415439722398303761380,3
+46320207567,234877459468166958711609595013600117702,2
+4632044008,321732568114385709355772492321794391094,8
+46321530931,256476378505686883523844790760149133218,5
+46321775851,335964141830772049243330914512332043630,4
+4632241870,37039054683966227797026099560273816948,2
+46322671049,163589851870506114601589603780954645294,4
+46325619500,275225074929602216479645562364374581920,3
+4632574528,193667417038524412640634816355015259655,2
+4633107576,140031020908899441884324650839156892509,6
+4633122842,141655032366410340817703816167543279365,7
+4633172528,74734747892055138213174539335036649801,3
+4633357614,333093714684916027869666221980162675681,8
+4633358871,64733388294538419376351284495593280738,4
+4633447400,78122830521596126571258742996628182730,2
+4633488488,304987408841281952885821609714726381402,2
+46337202401,176648140579964397583152767356648475545,2
+46337226617,30316163470403746696667440011984314167,2
+46337858661,20705885018878238887900288025827990210,2
+46337858661,244020299663189262673814958112116485076,4
+46340205120,247021378699171744935292911257714509240,2
+46340205120,339911056005356479469759558528381362788,2
+46340545508,99717560683183301309451431635015742247,2
+4634610418,315150146920501690568041199818391746186,2
+4634610518,209651286395858278053650318635342196066,5
+4634617166,98304063174939838543424635326086070536,4
+46346714298,316298879256189866994939087688366502039,3
+46346778730,239101974329042004535668907222344262343,3
+4634682850,314142969070408435463845580516042860365,2
+4635152294,301844269987073924208705190552964147661,5
+4635174329,93966311065476612290568065695872254465,2
+4635179915,340134481275958048729358853127148965513,2
+46352020218,267942372694199125280437473359858226506,3
+4635210397,311504247995115989380019634801145708742,2
+4635210397,8584010217170192007545406783413315523,3
+4635223377,14595048689038694066234870071789084847,4
+463534330,156677866568239964419969092347800563647,2
+463534330,279959808021215728216909499488934677585,3
+46357770766,315023998572157412380661852312694092422,1
+46357770766,72441850538832436694639978329895294284,3
+4636184924,45696604301807266463122489929969315699,3
+4636184924,56486493731765175363771144401559070284,6
+4636199047,128334097013702697504463486707656581211,5
+46362906656,48078615029536558701100697954824935158,2
+46362917254,102240218927243901158177616640798642566,4
+46362917254,262107259998066436043281460851994281855,4
+4636304164,200498389369752430195186329361287670749,3
+4636313542,210160144652026610746869956373558350513,5
+4636342184,198691913053023952367114764286805250901,2
+4636369049,10204827323614460880559974027419614570,2
+4636389209,82995952111154169736868236026995075143,2
+463647704,153665522477587990588565876294061694296,4
+46370331803,203995814672047641100675156358930221299,2
+46370343781,12685182840091786199620155056211688501,8
+4637082861,26527460611961054164346322519741358566,2
+46371222529,245968435761302536834060802531639265126,6
+4637133350,242703416985917670303161937999812036064,2
+4637133998,328180715533996654033351400355497513929,2
+46371586701,274851883920794281858181630612825530528,2
+4637181760,321095991575589894685918527375451597839,7
+4637212233,248403415598193819551542247016590863371,3
+4637283900,233328436753511788437103013322717627872,2
+4637288207,224208091906268012302297923240886258320,4
+4637288207,304718419583765083659130233012980268047,2
+4639312202,12629204338436540271057215259377234605,4
+4640131990,319856099790455471286066275624964954688,5
+4640166506,77956148322328377002906034558782683075,8
+4640245200,116957582530047840322947830114754965710,3
+4640245200,153941349532184718326788512381003737947,2
+4640313207,39631040191448779533015663801579810026,3
+4640313742,241708876569070987730721655886677873749,3
+4640313742,268058984370601127318972297946859755399,3
+4640313742,274042851892801591888272273466929684475,1
+4640313742,90594243908260484836891205494355725725,5
+4640350091,90973058017854812569026084686511166574,2
+4640356301,111016509028594191315764019629624891992,4
+4640356301,222857561532284622259564059239034551828,4
+4640382216,95412398319312400222406216906427649337,4
+4640433771,26792355073057929041227308715594016940,4
+4640470117,103156249913779424549667367503765105316,4
+4640552650,37877532838097959545785132061721774310,2
+4640552650,39219106181792404789393737855012438154,3
+46406001836,17328785292320165686648764387223039924,2
+46406006871,137625181296891613864920007386318221971,2
+46406184923,294724678562721617476593900669260662774,8
+46406444914,125996165371557219289757241563414887726,2
+46406559345,120751659674793322113448384948114464081,6
+46406606304,288350803240660671272030981004677077497,4
+46406690943,106256176875380728531944230769705613619,2
+46406707393,108263680549135611292130408343868842020,6
+46406707393,38551439478445172333264409975645969657,4
+46406712752,96950744053167930743869833595676359988,5
+46406753353,99473729424920979803340021723511659905,4
+46406901437,235811463514615107675325663002496136488,2
+46406915365,301249646379952737716389787964624351357,6
+464085740,304350698104674543954207538064087813354,3
+4640912800,272761436096915723536838530373497162768,2
+4640922440,331268811054493712429696950881582256392,2
+46410363569,273165144551171329415953032002761813115,2
+46410733663,122458680516455595111389673185641011057,5
+46410733663,91126320613679833858205095999694641486,4
+46411557743,22065024001453171986234549088818222831,3
+46411577845,203563558908953241370644727139194508129,7
+4641328237,158896317851781592289807896244666320374,2
+4641416300,65133184174777110456576601685557954432,7
+4641714229,109571357691221268918154009691351326151,6
+4641873390,187358482365900605976109835705182896988,2
+4641873390,291707528266322485383645148361127431475,2
+4642102598,261638205910030609473380744611184385410,3
+4642149820,137879042658265762471984717313568463672,2
+4642149820,281381065117327420972554086249167110367,3
+46423009784,98500414309255859979127161759323278446,2
+46423110354,156869802972988380738960778781962378362,3
+4642373405,64951632167269941624577405289367562801,2
+46424009700,139783228353580301724869349137614955678,5
+46424507550,29710075328629393710019482513983267432,6
+46424536600,296157693894266345374237537455608920803,2
+46424585349,174947632721260358280125332123004105550,2
+46424585349,209095404698306365575999039598655989795,2
+46424904174,137663264973247053896004784482842240305,1
+46424904174,334684638947484698443346584308245547297,3
+46426101311,77915038511878352961697535683448217254,2
+464292331,148344220944349019700608367331135070753,3
+46430541369,222104263559821502371314821427393991836,2
+4643073137,14650470307382118064006018290075941522,2
+4643073137,195487150676348853882278930537329158155,2
+46433273185,160508952646824591404923639061765674454,2
+46433273185,289763124162297543301917471294481734571,2
+4643379719,84859808461618581056474494725200641622,3
+4644225340,279019466909126234892272379051088485781,2
+4644236163,338275043803446698492029733966070636043,3
+4644236163,66487899470612370783552187928222561844,3
+4644282060,87012203376915106602389674199592656706,2
+46445908080,316452789048551956577831955156566951919,4
+46447818922,295314383423811745226942383810335153129,9
+46447818922,314147849797755894241394320804520856261,4
+46454303402,244727536418570179619721588839607605744,3
+46454303402,322914742002380810841721214838393351594,2
+4645488193,243180581528208839979434557760994737512,2
+4645510446,217911480198745530104852029485181046347,2
+46455303342,32048501628458819755034204792959668016,3
+46456816369,21138762353413266932874293262092635141,5
+4646131616,238736550278602705336162307676403534150,3
+4646148106,299473878284234878232306241903591892560,4
+4646163081,87990087791430611244728904488201854785,2
+4646173215,61871048635414442949089675668278835487,2
+46462226770,173913928679789994832040696946729156198,3
+46462226770,215979753452709648155973427322554026985,2
+46462226770,218348339236310136514767707465572515462,2
+46462700000,56641618216539969390113353309039193135,2
+46462879822,115775784344862120088608523949039664063,2
+46462879822,184388926176321123762352056441258455680,1
+4646328900,184441653226143268024766469201220655942,2
+46463593339,234324067082484498664704235734025118758,2
+46463598717,144291719667615904393557647105809882554,2
+4647041865,298480198872419247594203483062699459911,5
+4647041865,301063596521299757387357574234800950658,5
+4647041865,328085122608740651311328469617848612623,3
+4647043408,124943836448256668311926581936662491943,2
+4647043408,16271114520134447696959254787695818784,3
+4647043408,261352262671654878745172085831638752702,2
+4647043823,114804318764428821926051966614382668566,2
